round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round,run_id,run_tag
4,flwf2,mnist,10,dirichlet,0.1,1,0,0,7.899076035318361,0.5092,0.9908542517999612,0.0,-0.0476746448725433,0.1738325447438798,0.989492119089317,,9565760,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
5,flwf2,mnist,10,dirichlet,0.1,1,0,0,8.576329327630624,0.5031,0.978984238178634,0.0,0.0118700136213271,0.1738325447438798,0.97762210546799,,11957200,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
6,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.283974357196689,0.5091,0.9906596614127262,0.0,0.0001945903872349,0.1738325447438798,0.989297528702082,,14348640,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
7,flwf2,mnist,10,dirichlet,0.1,1,0,0,8.70518654011637,0.5064,0.9854057209573848,0.0,0.0054485308425764,0.1738325447438798,0.9840435882467404,,16740080,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
8,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.086260671374946,0.4895,0.9525199455146915,0.0,0.0383343062852695,0.1738325447438798,0.9511578128040474,,19131520,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
9,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.471045218689929,0.5025,0.9778166958552248,0.0,0.0130375559447363,0.1738325447438798,0.9764545631445808,,21522960,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
10,flwf2,mnist,10,dirichlet,0.1,1,0,1,10.327964381501264,0.5052,0.9830706363105662,0.0,0.0077836154893948,0.1738325447438798,0.981708503599922,,23914400,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
11,flwf2,mnist,10,dirichlet,0.1,2,1,0,8.27011640821062,0.5052,0.9830706363105662,0.0,0.0077836154893948,0.1738325447438798,0.981708503599922,,26305840,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
12,flwf2,mnist,10,dirichlet,0.1,2,0,0,7.376802423587628,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,28697280,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
13,flwf2,mnist,10,dirichlet,0.1,2,0,0,6.767066997697111,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,31088720,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
14,flwf2,mnist,10,dirichlet,0.1,2,0,0,6.269358497521933,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,33480160,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
15,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.930151119455602,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,35871600,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
16,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.653551459723524,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,38263040,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
17,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.450187603369262,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,40654480,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
18,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.263689657748677,0.5051,0.9828760459233314,0.0,0.0079782058766296,0.1738325447438798,0.9815139132126872,,43045920,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
19,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.103149677883275,0.5052,0.9830706363105662,0.0,0.0077836154893948,0.1738325447438798,0.981708503599922,,45437360,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
20,flwf2,mnist,10,dirichlet,0.1,2,0,1,4.953720871698484,0.5052,0.9830706363105662,0.0,0.0077836154893948,0.1738325447438798,0.981708503599922,,47828800,239144,5,c101d398f490,flwf2_mnist_C10_dirichlet_a0.1
0,flwf2,fmnist,50,dirichlet,1.0,1,0,0,2.307141382789612,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
1,flwf2,fmnist,50,dirichlet,1.0,1,1,0,3.79185086826086,0.4197,0.8394,0.0,-0.8378,0.1704,0.8378,,11957200,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
2,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.499128389012814,0.437,0.874,0.0,-0.0345999999999999,0.1704,0.8724,,23914400,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
3,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.640824788320065,0.4464,0.8928,0.0,-0.0188,0.1704,0.8912,,35871600,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
4,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.718928632903099,0.448,0.896,0.0,-0.0031999999999999,0.1704,0.8944,,47828800,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
5,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.806089177894592,0.4502,0.9004,0.0,-0.0043999999999999,0.1704,0.8987999999999999,,59786000,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
6,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.8099252215147015,0.4513,0.9026,0.0,-0.0021999999999999,0.1704,0.901,,71743200,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
7,flwf2,fmnist,50,dirichlet,1.0,1,0,0,5.075746583151817,0.4524,0.9048,0.0,-0.0022,0.1704,0.9032,,83700400,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
8,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.858008178532123,0.4512,0.9024,0.0,0.0024,0.1704,0.9008,,95657600,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
9,flwf2,fmnist,50,dirichlet,1.0,1,0,0,5.109888356667757,0.4553,0.9106,0.0,-0.0057999999999999,0.1704,0.909,,107614800,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
10,flwf2,fmnist,50,dirichlet,1.0,1,0,1,4.9806698370099065,0.455,0.91,0.0,0.0005999999999999,0.1704,0.9084,,119572000,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
11,flwf2,fmnist,50,dirichlet,1.0,2,1,0,4.850063894277811,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,131529200,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
12,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.7386596116483215,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,143486400,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
13,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.6447278951108455,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,155443600,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
14,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.546797958832979,0.4548,0.9096,0.0,0.001,0.1704,0.908,,167400800,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
15,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.452837680119276,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,179358000,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
16,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.364441903698444,0.455,0.91,0.0,0.0005999999999999,0.1704,0.9084,,191315200,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
17,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.279954767662287,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,203272400,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
18,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.200812826520204,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,215229600,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
19,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.127226225036383,0.4549,0.9098,0.0,0.0007999999999999,0.1704,0.9082,,227186800,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
20,flwf2,fmnist,50,dirichlet,1.0,2,0,1,4.055881701910495,0.4547,0.9094,0.0,0.0011999999999999,0.1704,0.9078,,239144000,239144,25,c1869b506753,flwf2_fmnist_C50_dirichlet_a1.0
0,flwf2,cifar10,100,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
1,flwf2,cifar10,100,dirichlet,0.5,1,1,0,2.6048136009216307,0.2018,0.4036,0.0,-0.3516,0.1484,0.3516,,24144800,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
2,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.448722992706299,0.2876,0.5752,0.0,-0.1716,0.1484,0.5232,,48289600,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
3,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.554446287441253,0.297,0.594,0.0,-0.0187999999999999,0.1484,0.5419999999999999,,72434400,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
4,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.706825211715698,0.3057,0.6114,0.0,-0.0174,0.1484,0.5594,,96579200,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
